Small unit postcode,Jul 2025 - Installation Quantity,Aug 2025 - Installation Quantity,Sep 2025 - Installation Quantity,Oct 2025 - Installation Quantity,Nov 2025 - Installation Quantity,Dec 2025 - Installation Quantity,Jan 2026 - Installation Quantity,Feb 2026 - Installation Quantity,Mar 2026 - Installation Quantity,Apr 2026 - Installation Quantity,May 2026 - Installation Quantity,Total Installation Quantity
5290,24,19,35,41,44,42,26,27,24,28,3,313
5291,8,6,19,31,24,33,9,17,24,36,4,211
5301,3,0,0,0,4,1,0,1,0,3,0,12
5302,2,2,1,1,1,4,1,0,2,5,0,19
5303,0,0,0,0,0,0,0,0,2,2,0,4
5304,0,0,0,1,0,4,0,1,3,2,0,11
5306,0,0,0,0,0,1,0,0,0,0,0,1
5307,2,1,1,0,3,3,1,0,0,1,0,12
5311,0,0,0,0,1,1,0,1,1,2,0,6
5320,3,0,2,3,1,6,3,1,0,5,1,25
5321,1,1,3,4,2,3,1,1,5,1,0,22
5322,1,5,6,6,4,5,1,1,3,7,0,39
5330,5,7,7,7,15,17,4,6,7,16,0,91
5331,0,0,0,1,2,3,0,0,0,2,0,8
5332,0,0,1,2,2,4,0,0,0,3,0,12
5333,10,9,15,14,12,25,5,18,17,38,1,164
5340,1,2,3,2,4,8,2,2,1,15,1,41
5341,17,11,8,20,21,39,9,10,22,57,4,218
5342,2,2,0,3,7,2,1,1,3,2,1,24
5343,13,2,8,9,9,10,3,11,9,19,1,94
5344,2,1,0,3,6,4,1,4,2,5,0,28
5345,2,4,8,6,15,11,3,14,12,13,2,90
5346,0,0,1,1,1,2,0,1,0,2,0,8
5350,2,2,1,3,1,3,0,2,3,5,0,22
5351,19,10,9,17,13,26,12,28,18,41,10,203
5352,21,11,21,17,13,13,10,20,30,34,10,200
5353,8,5,13,7,13,12,6,13,7,27,2,113
5354,2,0,0,0,2,0,2,1,5,0,0,12
5355,31,19,20,25,19,24,17,29,26,25,5,240
5356,0,2,3,1,2,6,2,3,2,3,1,25
5357,0,4,4,3,0,0,2,0,0,2,0,15
5360,3,1,4,9,5,3,2,4,7,7,2,47
5371,19,9,13,13,9,13,9,18,11,20,3,137
5372,7,7,13,7,8,10,6,9,7,12,1,87
5373,10,9,10,10,11,8,7,6,17,7,3,98
5374,2,0,3,8,6,4,4,11,7,4,1,50
5381,0,0,0,0,2,0,0,1,0,2,0,5
5400,3,1,4,2,4,5,2,2,4,7,0,34
5401,1,1,1,0,1,2,1,0,2,2,0,11
5410,0,0,0,1,0,0,0,2,0,1,0,4
5411,0,1,0,0,0,0,0,2,1,0,0,4
5412,2,2,2,2,2,1,0,4,4,5,1,25
5413,3,1,2,0,3,2,0,2,6,3,0,22
